ZCTA,density,classification
3455,37,3
3456,12,3
3457,15,3
3458,54,3
3461,49,3
3462,34,3
3464,9,3
3465,49,3
3466,34,3
3467,18,3
3470,22,3
3561,53,3
3570,40,3
3574,12,3
3576,10,3
3579,0,3
3580,6,3
3581,10,3
3582,13,3
3583,9,3
3584,25,3
3585,13,3
3586,15,3
3588,5,3
3590,5,3
3592,2,3
3593,2,3
3595,8,3
3597,3,3
3598,23,3
3601,10,3
3602,19,3
3603,53,3
3605,15,3
3607,9,3
3608,35,3
3609,395,2
3740,11,3
3741,22,3
3743,97,3
3745,17,3
3748,49,3
3750,26,3
3751,80,3
3752,15,3
3753,46,3
3755,79,3
3765,50,3
3766,132,2
3768,13,3
3770,36,3
3771,14,3
3773,35,3
3774,28,3
3777,12,3
3779,8,3
3780,10,3
3781,16,3
3782,60,3
3784,232,2
3785,17,3
3801,433,2
3809,36,3
3810,29,3
3811,239,2
3812,6,3
3813,14,3
3814,32,3
3816,19,3
3817,28,3
3818,20,3
3819,134,2
3820,463,2
3823,57,3
3824,132,2
3825,69,3
3826,376,2
3827,66,3
3830,54,3
3832,8,3
3833,169,2
3835,70,3
3836,20,3
3837,27,3
3838,21,3
3839,178,2
3840,132,2
3841,224,2
3842,535,2
3844,68,3
3845,37,3
3846,6,3
3847,165,2
3848,116,2
3849,27,3
3850,60,3
3851,60,3
3852,31,3
3853,34,3
3854,544,2
3855,24,3
3856,81,3
3857,308,2
3858,168,2
3860,91,3
3861,83,3
3862,126,2
3864,19,3
3865,274,2
3867,292,2
3868,288,2
3869,142,2
3870,180,2
3872,33,3
3873,149,2
3874,420,2
3875,27,3
3878,489,2
3882,16,3
3884,30,3
3885,182,2
3886,25,3
3887,40,3
3890,32,3
3894,58,3
3901,73,3
3902,49,3
3903,127,2
3904,309,2
3905,128,2
3906,47,3
3907,122,2
3908,85,3
3909,121,2
3910,491,2
3911,391,2
4001,28,3
4002,43,3
4003,140,2
4005,193,2
4008,31,3
4009,39,3
4010,15,3
4011,181,2
4015,50,3
4017,48,3
4020,27,3
4021,102,2
4022,10,3
4024,15,3
4027,40,3
4029,22,3
4030,52,3
4032,92,3
4037,18,3
4038,113,2
4039,74,3
4040,21,3
4041,17,3
4042,52,3
4043,133,2
4046,71,3
4047,13,3
4048,40,3
4049,34,3
4051,11,3
4055,50,3
4056,19,3
4061,59,3
4062,136,2
4063,394,2
4064,619,2
4066,153,2
4068,20,3
4069,26,3
4071,52,3
4072,198,2
4073,177,2
4074,156,2
4076,28,3
4079,84,3
4083,185,2
4084,62,3
4085,52,3
4086,116,2
4087,40,3
4088,13,3
4090,71,3
4091,18,3
4092,442,2
4093,77,3
4095,18,3
4096,264,2
4097,61,3
4101,4540,1
4102,1324,1
4103,1312,1
4105,148,2
4106,899,1
4107,248,2
4108,357,2
4110,264,2
4210,168,2
4216,2,3
4217,8,3
4219,10,3
4220,16,3
4221,14,3
4222,39,3
4224,17,3
4231,3,3
4236,52,3
4237,16,3
4238,20,3
4239,42,3
4240,447,1
4250,145,2
4252,181,2
4253,24,3
4254,67,3
4255,9,3
4256,108,2
4257,51,3
4258,34,3
4259,43,3
4260,44,3
4261,1,3
4263,22,3
4265,51,3
4268,47,3
4270,30,3
4274,51,3
4275,3,3
4276,39,3
4280,61,3
4281,53,3
4282,37,3
4284,29,3
4285,3,3
4287,27,3
4289,29,3
4290,13,3
4292,9,3
4294,29,3
4330,98,2
4342,23,3
4344,112,2
4345,67,3
4346,382,2
4347,201,2
4348,16,3
4349,17,3
4350,38,3
4351,49,3
4352,18,3
4353,20,3
4354,15,3
4355,34,3
4357,47,3
4358,34,3
4359,228,2
4360,10,3
4363,30,3
4364,84,3
4401,191,2
4406,4,3
4410,12,3
4411,15,3
4412,273,2
4414,2,3
4415,76,3
4416,41,3
4417,3,3
4418,5,3
4419,30,3
4421,49,3
4422,12,3
4424,3,3
4426,13,3
4427,28,3
4428,21,3
4429,28,3
4430,85,3
4434,19,3
4435,11,3
4438,18,3
4441,2,3
4443,8,3
4444,51,3
4448,5,3
4449,15,3
4450,34,3
4451,2,3
4453,5,3
4455,4,3
4456,36,3
4457,15,3
4459,4,3
4460,6,3
4461,29,3
4462,2,3
4463,9,3
4464,2,3
4468,34,3
4471,3,3
4472,20,3
4473,158,2
4474,59,3
4475,7,3
4476,15,3
4478,0,3
4479,16,3
4481,8,3
4485,3,3
4487,2,3
4488,14,3
4490,0,3
4493,12,3
4495,4,3
4496,42,3
