status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,775000,2,2,,"301 Border St Unit 311, Boston, MA, 02128",301 Border St Unit 311,Boston,Massachusetts,2128,913,
for_sale,595000,1,1,,"301 Border St Unit 306, Boston, MA, 02128",301 Border St Unit 306,Boston,Massachusetts,2128,865,
for_sale,2350000,2,2,,"1 Franklin St Unit 2312, Boston, MA, 02110",1 Franklin St Unit 2312,Boston,Massachusetts,2110,1309,
for_sale,4100000,3,4,,"1 Franklin St Unit 4605, Boston, MA, 02110",1 Franklin St Unit 4605,Boston,Massachusetts,2110,2196,
for_sale,1495000,3,3,,"280 W Fifth St Unit 201, South Boston, MA, 02127",280 W Fifth St Unit 201,South Boston,Massachusetts,2127,1770,
for_sale,14950000,60,51,1.01,"8 Banton St, Boston, MA, 02124",8 Banton St,Boston,Massachusetts,2124,38442,
for_sale,2150000,3,2,0.02,"5 Lawrence St, Boston, MA, 02116",5 Lawrence St,Boston,Massachusetts,2116,2138,
for_sale,4750000,4,4,0.03,"538 Tremont St Unit 1-4, Boston, MA, 02116",538 Tremont St Unit 1-4,Boston,Massachusetts,2116,4400,
for_sale,799000,1,1,,"49 Melcher St Unit 203, Boston, MA, 02210",49 Melcher St Unit 203,Boston,Massachusetts,2210,702,
for_sale,2599000,2,2,,"1 Franklin St Unit 3110, Boston, MA, 02110",1 Franklin St Unit 3110,Boston,Massachusetts,2110,1281,
for_sale,6900000,9,15,0.04,"37 Joy St, Boston, MA, 02114",37 Joy St,Boston,Massachusetts,2114,8232,
for_sale,5152000,2,3,,"133 Seaport Blvd Ph 1C, Boston, MA, 02210",133 Seaport Blvd Ph 1C,Boston,Massachusetts,2210,2190,
for_sale,545000,1,1,,"301 Border St Unit 401, Boston, MA, 02128",301 Border St Unit 401,Boston,Massachusetts,2128,663,
for_sale,2298000,2,2,,"1 Franklin St Unit 1408, Boston, MA, 02110",1 Franklin St Unit 1408,Boston,Massachusetts,2110,1556,
for_sale,850000,2,2,,"301 Border St Unit 413, Boston, MA, 02128",301 Border St Unit 413,Boston,Massachusetts,2128,1061,
for_sale,749000,3,4,0.06,"226 Saratoga St Unit 1, Boston, MA, 02128",226 Saratoga St Unit 1,Boston,Massachusetts,2128,1441,
for_sale,667500,1,2,0.01,"34 Lawrence St Unit G, Boston, MA, 02116",34 Lawrence St Unit G,Boston,Massachusetts,2116,571,
for_sale,924900,3,2,,"301 Border St Unit 207, Boston, MA, 02128",301 Border St Unit 207,Boston,Massachusetts,2128,1265,
for_sale,429999,2,1,,"255 Saratoga St Unit 1, Boston, MA, 02128",255 Saratoga St Unit 1,Boston,Massachusetts,2128,535,
for_sale,2390000,3,4,,"97 Farragut Rd Unit 1, Boston, MA, 02127",97 Farragut Rd Unit 1,Boston,Massachusetts,2127,2490,
for_sale,1160000,1,1,,"133 Seaport Blvd Unit 812, Boston, MA, 02210",133 Seaport Blvd Unit 812,Boston,Massachusetts,2210,691,
for_sale,929000,2,2,,"14 Moon St Apt 3, Boston, MA, 02113",14 Moon St Apt 3,Boston,Massachusetts,2113,861,
for_sale,565000,1,1,,"301 Border St Unit 312, Boston, MA, 02128",301 Border St Unit 312,Boston,Massachusetts,2128,754,
for_sale,875000,4,3,,"1069-1071 Dorchester Ave Unit 1, Boston, MA, 02125",1069-1071 Dorchester Ave Unit 1,Boston,Massachusetts,2125,2775,
for_sale,619000,3,2,,"12 Cawfield St Unit 2, Boston, MA, 02125",12 Cawfield St Unit 2,Boston,Massachusetts,2125,1157,
for_sale,679900,1,1,,"99 Sumner St Unit 214, Boston, MA, 02128",99 Sumner St Unit 214,Boston,Massachusetts,2128,718,
for_sale,2950000,2,2,,"300 Pier 4 Blvd Unit 2M, Boston, MA, 02210",300 Pier 4 Blvd Unit 2M,Boston,Massachusetts,2210,1259,
for_sale,5900000,2,3,,"50 Liberty Dr Unit 3A, Boston, MA, 02210",50 Liberty Dr Unit 3A,Boston,Massachusetts,2210,2036,
for_sale,1475000,4,3,,"678 Massachusetts Ave Unit 4, Boston, MA, 02118",678 Massachusetts Ave Unit 4,Boston,Massachusetts,2118,1844,
for_sale,2350000,2,3,,"135 Seaport Blvd Apt 1806, Boston, MA, 02210",135 Seaport Blvd Apt 1806,Boston,Massachusetts,2210,1384,
for_sale,1199900,2,2,,"99 Sumner St Unit U612, Boston, MA, 02128",99 Sumner St Unit U612,Boston,Massachusetts,2128,1206,
for_sale,7500000,3,5,,"1 Franklin St Unit 5302, Boston, MA, 02110",1 Franklin St Unit 5302,Boston,Massachusetts,2110,3172,
for_sale,1449900,2,2,,"99 Sumner St Unit 604, Boston, MA, 02128",99 Sumner St Unit 604,Boston,Massachusetts,2128,1140,
for_sale,6475000,3,3,,"45 Temple St Unit 612, Boston, MA, 02114",45 Temple St Unit 612,Boston,Massachusetts,2114,3151,
for_sale,699000,2,3,,"81 Prince St Unit A, Boston, MA, 02113",81 Prince St Unit A,Boston,Massachusetts,2113,1440,
for_sale,425000,3,1,0.08,"190 Paris St Apt 3, Boston, MA, 02128",190 Paris St Apt 3,Boston,Massachusetts,2128,691,
for_sale,770000,4,2,0.1,"14-16 Child St, Boston, MA, 02136",14-16 Child St,Boston,Massachusetts,2136,2176,
for_sale,1450000,2,3,0.04,"65 E India Row Ph B, Boston, MA, 02110",65 E India Row Ph B,Boston,Massachusetts,2110,1635,
for_sale,3600000,11,8,0.03,"58 Prince St, Boston, MA, 02113",58 Prince St,Boston,Massachusetts,2113,4665,
for_sale,939000,2,1,,"587 Tremont St Unit 4, Boston, MA, 02118",587 Tremont St Unit 4,Boston,Massachusetts,2118,1085,
